timestamp,asset,price,position,peakPrice,trailLevel,equity,unrealizedPnL,realizedPnL,event,tradeReturn,cumFees
2026-04-06T00:00:00.000Z,ETH,2121.9900,LONG,2121.9900,1803.6915,10348.29,348.29,0.00,HOLD,,0.00
2026-04-06T01:00:00.000Z,BTC,68810.1800,LONG,69083.7800,58721.2130,10279.38,279.38,0.00,HOLD,,0.00
2026-04-06T01:00:00.000Z,ETH,2115.1200,LONG,2121.9900,1803.6915,10314.79,314.79,0.00,HOLD,,0.00
2026-04-06T02:00:00.000Z,BTC,69207.9900,LONG,69207.9900,58826.7915,10338.81,338.81,0.00,HOLD,,0.00
2026-04-06T02:00:00.000Z,ETH,2133.5900,LONG,2133.5900,1813.5515,10404.86,404.86,0.00,HOLD,,0.00
2026-04-06T03:00:00.000Z,BTC,69123.6900,LONG,69207.9900,58826.7915,10326.22,326.22,0.00,HOLD,,0.00
2026-04-06T03:00:00.000Z,ETH,2129.3500,LONG,2133.5900,1813.5515,10384.19,384.19,0.00,HOLD,,0.00
2026-04-06T04:00:00.000Z,BTC,69141.8000,LONG,69207.9900,58826.7915,10328.92,328.92,0.00,HOLD,,0.00
2026-04-06T04:00:00.000Z,ETH,2131.0600,LONG,2133.5900,1813.5515,10392.53,392.53,0.00,HOLD,,0.00
2026-04-06T05:00:00.000Z,BTC,69199.3100,LONG,69207.9900,58826.7915,10337.51,337.51,0.00,HOLD,,0.00
2026-04-06T05:00:00.000Z,ETH,2131.2900,LONG,2133.5900,1813.5515,10393.65,393.65,0.00,HOLD,,0.00
2026-04-06T06:00:00.000Z,BTC,68976.6700,LONG,69207.9900,58826.7915,10304.25,304.25,0.00,HOLD,,0.00
2026-04-06T06:00:00.000Z,ETH,2127.5300,LONG,2133.5900,1813.5515,10375.31,375.31,0.00,HOLD,,0.00
2026-04-06T07:00:00.000Z,BTC,69115.9100,LONG,69207.9900,58826.7915,10325.05,325.05,0.00,HOLD,,0.00
2026-04-06T07:00:00.000Z,ETH,2134.9000,LONG,2134.9000,1814.6650,10411.25,411.25,0.00,HOLD,,0.00
2026-04-06T08:00:00.000Z,BTC,69224.6300,LONG,69224.6300,58840.9355,10341.30,341.30,0.00,HOLD,,0.00
2026-04-06T08:00:00.000Z,ETH,2138.4800,LONG,2138.4800,1817.7080,10428.71,428.71,0.00,HOLD,,0.00
2026-04-06T09:00:00.000Z,BTC,69728.0000,LONG,69728.0000,59268.8000,10416.49,416.49,0.00,HOLD,,0.00
2026-04-06T09:00:00.000Z,ETH,2150.9700,LONG,2150.9700,1828.3245,10489.62,489.62,0.00,HOLD,,0.00
2026-04-06T10:00:00.000Z,BTC,69770.8800,LONG,69770.8800,59305.2480,10422.90,422.90,0.00,HOLD,,0.00
2026-04-06T10:00:00.000Z,ETH,2153.2700,LONG,2153.2700,1830.2795,10500.84,500.84,0.00,HOLD,,0.00
2026-04-06T11:00:00.000Z,BTC,69614.9100,LONG,69770.8800,59305.2480,10399.60,399.60,0.00,HOLD,,0.00
2026-04-06T11:00:00.000Z,ETH,2151.5300,LONG,2153.2700,1830.2795,10492.35,492.35,0.00,HOLD,,0.00
2026-04-06T12:00:00.000Z,BTC,69366.7500,LONG,69770.8800,59305.2480,10362.53,362.53,0.00,HOLD,,0.00
2026-04-06T12:00:00.000Z,ETH,2143.5900,LONG,2153.2700,1830.2795,10453.63,453.63,0.00,HOLD,,0.00
2026-04-06T13:00:00.000Z,BTC,69428.2300,LONG,69770.8800,59305.2480,10371.71,371.71,0.00,HOLD,,0.00
2026-04-06T13:00:00.000Z,ETH,2145.9900,LONG,2153.2700,1830.2795,10465.33,465.33,0.00,HOLD,,0.00
2026-04-06T14:00:00.000Z,BTC,69654.3800,LONG,69770.8800,59305.2480,10405.49,405.49,0.00,HOLD,,0.00
2026-04-06T14:00:00.000Z,ETH,2156.7100,LONG,2156.7100,1833.2035,10517.61,517.61,0.00,HOLD,,0.00
2026-04-06T15:00:00.000Z,BTC,69968.8700,LONG,69968.8700,59473.5395,10452.48,452.48,0.00,HOLD,,0.00
2026-04-06T15:00:00.000Z,ETH,2164.6500,LONG,2164.6500,1839.9525,10556.33,556.33,0.00,HOLD,,0.00
2026-04-06T16:00:00.000Z,BTC,69799.1400,LONG,69968.8700,59473.5395,10427.12,427.12,0.00,HOLD,,0.00
2026-04-06T16:00:00.000Z,ETH,2140.6200,LONG,2164.6500,1839.9525,10439.15,439.15,0.00,HOLD,,0.00
2026-04-06T17:00:00.000Z,BTC,69574.6100,LONG,69968.8700,59473.5395,10393.58,393.58,0.00,HOLD,,0.00
2026-04-06T17:00:00.000Z,ETH,2134.9500,LONG,2164.6500,1839.9525,10411.50,411.50,0.00,HOLD,,0.00
2026-04-06T18:00:00.000Z,BTC,69888.9700,LONG,69968.8700,59473.5395,10440.54,440.54,0.00,HOLD,,0.00
2026-04-06T18:00:00.000Z,ETH,2144.8400,LONG,2164.6500,1839.9525,10459.73,459.73,0.00,HOLD,,0.00
2026-04-06T19:00:00.000Z,BTC,69739.5300,LONG,69968.8700,59473.5395,10418.21,418.21,0.00,HOLD,,0.00
2026-04-06T19:00:00.000Z,ETH,2144.2500,LONG,2164.6500,1839.9525,10456.85,456.85,0.00,HOLD,,0.00
2026-04-06T20:00:00.000Z,BTC,69826.0100,LONG,69968.8700,59473.5395,10431.13,431.13,0.00,HOLD,,0.00
2026-04-06T20:00:00.000Z,ETH,2148.8100,LONG,2164.6500,1839.9525,10479.09,479.09,0.00,HOLD,,0.00
2026-04-06T21:00:00.000Z,BTC,69504.9900,LONG,69968.8700,59473.5395,10383.18,383.18,0.00,HOLD,,0.00
2026-04-06T21:00:00.000Z,ETH,2139.5400,LONG,2164.6500,1839.9525,10433.88,433.88,0.00,HOLD,,0.00
2026-04-06T22:00:00.000Z,BTC,68811.0000,LONG,69968.8700,59473.5395,10279.50,279.50,0.00,HOLD,,0.00
2026-04-06T22:00:00.000Z,ETH,2105.4100,LONG,2164.6500,1839.9525,10267.44,267.44,0.00,HOLD,,0.00
2026-04-06T23:00:00.000Z,BTC,68853.6600,LONG,69968.8700,59473.5395,10285.88,285.88,0.00,HOLD,,0.00
2026-04-06T23:00:00.000Z,ETH,2107.1600,LONG,2164.6500,1839.9525,10275.97,275.97,0.00,HOLD,,0.00
2026-04-07T00:00:00.000Z,BTC,68775.7000,LONG,69968.8700,59473.5395,10274.23,274.23,0.00,HOLD,,0.00
